status	label	forms
map	forest biomass	forest biomass ; biomasse forestière
map	forest carbon	forest carbon ; Forest carbon ; forests carbon ; carbon forests ; forests for carbon ; carbon in forests ; carbone forestier ; forest carbon
map	forest change	forest change ; forest changes ; changes in forest ; changes in the forest ; change of forest ; évolution des forêts ; forest change
map	forest cover	forest cover ; Forest cover ; couverture forestière ; forest cover
map	forest degradation	forest degradation ; dégradation des forêts
map	forest ecosystems	forest ecosystems ; forest ecosystem ; Forest ecosystems ; forests ecosystems ; écosystèmes forestiers ; forest ecosystems
map	forest growth	forest growth ; growth forest ; croissance des forêts ; forest growth
map	forest inventory	forest inventory ; forest inventories ; inventaire forestier ; forest inventory
map	forest land	forest land ; forest lands ; forest on land ; land forest ; forest landscape ; forest landscapes ; landscape forest ; forest sites ; forest site ; sites forestiers
map	forest management	forest management ; Forest management ; management of forests ; forests management ; management forest ; management of forest ; management on forest ; management of these forests ; gestion des forêts ; forest management
map	forest soils	forest soils ; forest soil ; soils under forest ; soils from the forest ; sols forestiers ; forest soils
map	forest stands	forest stands ; forest stand ; peuplements forestiers ; forest stands
map	forest structure	forest structure ; forest structures ; structure de la forêt ; forest structure
map	forest trees	forest trees ; forest tree ; trees and forests ; trees outside forests ; trees or forests ; trees in the forest ; arbres forestiers ; forest trees
map	forest types	forest types ; forest type ; types of forest ; types de forêts ; forest types
map	fossil fuels	fossil fuels ; fossil fuel ; combustibles fossiles ; fossil fuels
map	fresh water	fresh water ; fresh waters ; eau douce ; fresh water
map	freshwater ecosystems	freshwater ecosystems ; Freshwater ecosystems ; freshwater ecosystem ; ecosystems from freshwater ; écosystèmes d'eau douce ; freshwater ecosystems
map	functional diversity	functional diversity ; diversity and functional ; diversité fonctionnelle ; functional diversity
map	functional groups	functional groups ; functional group ; groupes fonctionnels ; functional groups
map	functional traits	functional traits ; Functional traits ; traits fonctionnels ; functional traits
map	fungal communities	fungal communities ; fungal community ; communautés fongiques ; fungal communities
map	future climate scenarios	future climate scenarios ; future climate scenario ; Future climate scenarios ; scenarios of future climate ; future scenarios of climate ; des scénarios climatiques futurs ; future climate scenarios
